ide,ident,libelle,obs1,obs2,ident,perimetre,adr1,adr2,codepostal,ville,tel,nom1,prenom1,tel1,poste1,nbclasses,nbplaces,nbinscrits,libelle1,libelle2,pair,pairdebut,pairfin,impair,impairdebut,impairfin,ident,libelle1,motdirec,pairdebutbis,pairfinbis,impairdebutbis,impairfinbis,etablissement,rue
92,DUNANT/AL,Périmètre Henri Dunant et Berty Albrecht,,,E/AL,10,86 RUE CARNOT,,92150,SURESNES,01 41 18 16 98,FLIS-RICHARD,Sylvie,01 41 18 16 98,,16,432,403,Elémentaire Berty  Albrecht,,S,,,S,,,TEMP01,AVENUE JUSTIN GODART,GODART,,,,,5,422
93,DUNANT/AL,Périmètre Henri Dunant et Berty Albrecht,,,E/AL,10,86 RUE CARNOT,,92150,SURESNES,01 41 18 16 98,FLIS-RICHARD,Sylvie,01 41 18 16 98,,16,432,403,Elémentaire Berty  Albrecht,,T,,,T,,,5031D,PLACE DE KEIGHLEY,KEIGHLEY,,,,,5,231
94,DUNANT/AL,Périmètre Henri Dunant et Berty Albrecht,,,E/AL,10,86 RUE CARNOT,,92150,SURESNES,01 41 18 16 98,FLIS-RICHARD,Sylvie,01 41 18 16 98,,16,432,403,Elémentaire Berty  Albrecht,,T,,,T,,,8160E,RUE ROUGET DE LISLE,LISLE,,,,,5,272
95,DUNANT/AL,Périmètre Henri Dunant et Berty Albrecht,,,E/AL,10,86 RUE CARNOT,,92150,SURESNES,01 41 18 16 98,FLIS-RICHARD,Sylvie,01 41 18 16 98,,16,432,403,Elémentaire Berty  Albrecht,,S,,,P,27,9999,0660C,RUE BENOIT MALON,MALON,,,,,5,18
96,DUNANT/AL,Périmètre Henri Dunant et Berty Albrecht,,,E/AL,10,86 RUE CARNOT,,92150,SURESNES,01 41 18 16 98,FLIS-RICHARD,Sylvie,01 41 18 16 98,,16,432,403,Elémentaire Berty  Albrecht,,T,,,T,,,6150V,RUE MICHELET,MICHELET,,,,,5,140
97,DUNANT/AL,Périmètre Henri Dunant et Berty Albrecht,,,E/AL,10,86 RUE CARNOT,,92150,SURESNES,01 41 18 16 98,FLIS-RICHARD,Sylvie,01 41 18 16 98,,16,432,403,Elémentaire Berty  Albrecht,,P,16,9998,P,13,9999,3125G,RUE EDOUARD NIEUPORT,NIEUPORT,,,,,5,63
98,DUNANT/AL,Périmètre Henri Dunant et Berty Albrecht,,,E/AL,10,86 RUE CARNOT,,92150,SURESNES,01 41 18 16 98,FLIS-RICHARD,Sylvie,01 41 18 16 98,,16,432,403,Elémentaire Berty  Albrecht,,P,14,9998,P,7,9999,7110N,RUE PAGES,PAGES,,,,,5,153
99,DUNANT/AL,Périmètre Henri Dunant et Berty Albrecht,,,E/AL,10,86 RUE CARNOT,,92150,SURESNES,01 41 18 16 98,FLIS-RICHARD,Sylvie,01 41 18 16 98,,16,432,403,Elémentaire Berty  Albrecht,,S,,,P,15,9999,4165M,AVENUE GEORGES POMPIDOU,POMPIDOU,,,,,5,91
100,DUNANT/AL,Périmètre Henri Dunant et Berty Albrecht,,,E/AL,10,86 RUE CARNOT,,92150,SURESNES,01 41 18 16 98,FLIS-RICHARD,Sylvie,01 41 18 16 98,,16,432,403,Elémentaire Berty  Albrecht,,P,2,12,S,,,8120L,RUE DU RATRAIT,RATRAIT,,,,,5,181
101,DUNANT/AL,Périmètre Henri Dunant et Berty Albrecht,,,E/AL,10,86 RUE CARNOT,,92150,SURESNES,01 41 18 16 98,FLIS-RICHARD,Sylvie,01 41 18 16 98,,16,432,403,Elémentaire Berty  Albrecht,,T,,,P,17,21,1530Y,RUE DU COMMANDANT RIVIERE,RIVIERE,,,,,5,45
102,DUNANT/AL,Périmètre Henri Dunant et Berty Albrecht,,,E/AL,10,86 RUE CARNOT,,92150,SURESNES,01 41 18 16 98,FLIS-RICHARD,Sylvie,01 41 18 16 98,,16,432,403,Elémentaire Berty  Albrecht,,S,,,P,1,41,0615D,RUE DES BAS ROGERS,ROGERS,,,,,5,11
103,DUNANT/AL,Périmètre Henri Dunant et Berty Albrecht,,,E/AL,10,86 RUE CARNOT,,92150,SURESNES,01 41 18 16 98,FLIS-RICHARD,Sylvie,01 41 18 16 98,,16,432,403,Elémentaire Berty  Albrecht,,S,,,S,1,7,XXXX,AVENUE SISLEY,SISLEY,,,,,5,421
104,DUNANT/AL,Périmètre Henri Dunant et Berty Albrecht,,,E/AL,10,86 RUE CARNOT,,92150,SURESNES,01 41 18 16 98,FLIS-RICHARD,Sylvie,01 41 18 16 98,,16,432,403,Elémentaire Berty  Albrecht,,P,28,9998,P,103,9999,9625X,RUE DE VERDUN,VERDUN,,,,,5,214
105,DUNANT/AL,Périmètre Henri Dunant et Berty Albrecht,,,M/DU,10,19 BIS RUE DU COMMANDANT RIVIERE,,92150,SURESNES,01 45 06 46 33,OUDIN,Claire,01 45 06 46 33,,6,162,150,Maternelle Henri Dunant,,T,,,T,,,7201M,RUE CURIE,CURIE,,,,,4,52
106,DUNANT/AL,Périmètre Henri Dunant et Berty Albrecht,,,M/DU,10,19 BIS RUE DU COMMANDANT RIVIERE,,92150,SURESNES,01 45 06 46 33,OUDIN,Claire,01 45 06 46 33,,6,162,150,Maternelle Henri Dunant,,T,,,T,,,3150J,RUE EMILE DUCLAUX,DUCLAUX,,,,,4,258
107,DUNANT/AL,Périmètre Henri Dunant et Berty Albrecht,,,M/DU,10,19 BIS RUE DU COMMANDANT RIVIERE,,92150,SURESNES,01 45 06 46 33,OUDIN,Claire,01 45 06 46 33,,6,162,150,Maternelle Henri Dunant,,T,,,S,,,4185J,RUE GUSTAVE FLOURENS,FLOURENS,,,,,4,95
108,DUNANT/AL,Périmètre Henri Dunant et Berty Albrecht,,,M/DU,10,19 BIS RUE DU COMMANDANT RIVIERE,,92150,SURESNES,01 45 06 46 33,OUDIN,Claire,01 45 06 46 33,,6,162,150,Maternelle Henri Dunant,,S,,,S,,,TEMP01,AVENUE JUSTIN GODART,GODART,,,,,4,422
109,DUNANT/AL,Périmètre Henri Dunant et Berty Albrecht,,,M/DU,10,19 BIS RUE DU COMMANDANT RIVIERE,,92150,SURESNES,01 45 06 46 33,OUDIN,Claire,01 45 06 46 33,,6,162,150,Maternelle Henri Dunant,,T,,,T,,,5031D,PLACE DE KEIGHLEY,KEIGHLEY,,,,,4,231
110,DUNANT/AL,Périmètre Henri Dunant et Berty Albrecht,,,M/DU,10,19 BIS RUE DU COMMANDANT RIVIERE,,92150,SURESNES,01 45 06 46 33,OUDIN,Claire,01 45 06 46 33,,6,162,150,Maternelle Henri Dunant,,T,,,T,,,8160E,RUE ROUGET DE LISLE,LISLE,,,,,4,272
111,DUNANT/AL,Périmètre Henri Dunant et Berty Albrecht,,,M/DU,10,19 BIS RUE DU COMMANDANT RIVIERE,,92150,SURESNES,01 45 06 46 33,OUDIN,Claire,01 45 06 46 33,,6,162,150,Maternelle Henri Dunant,,S,,,P,27,9999,0660C,RUE BENOIT MALON,MALON,,,,,4,18
112,DUNANT/AL,Périmètre Henri Dunant et Berty Albrecht,,,M/DU,10,19 BIS RUE DU COMMANDANT RIVIERE,,92150,SURESNES,01 45 06 46 33,OUDIN,Claire,01 45 06 46 33,,6,162,150,Maternelle Henri Dunant,,T,,,T,,,6150V,RUE MICHELET,MICHELET,,,,,4,140
113,DUNANT/AL,Périmètre Henri Dunant et Berty Albrecht,,,M/DU,10,19 BIS RUE DU COMMANDANT RIVIERE,,92150,SURESNES,01 45 06 46 33,OUDIN,Claire,01 45 06 46 33,,6,162,150,Maternelle Henri Dunant,,P,16,9998,P,13,9999,3125G,RUE EDOUARD NIEUPORT,NIEUPORT,,,,,4,63
114,DUNANT/AL,Périmètre Henri Dunant et Berty Albrecht,,,M/DU,10,19 BIS RUE DU COMMANDANT RIVIERE,,92150,SURESNES,01 45 06 46 33,OUDIN,Claire,01 45 06 46 33,,6,162,150,Maternelle Henri Dunant,,P,14,9998,P,7,9999,7110N,RUE PAGES,PAGES,,,,,4,153
115,DUNANT/AL,Périmètre Henri Dunant et Berty Albrecht,,,M/DU,10,19 BIS RUE DU COMMANDANT RIVIERE,,92150,SURESNES,01 45 06 46 33,OUDIN,Claire,01 45 06 46 33,,6,162,150,Maternelle Henri Dunant,,S,,,P,15,9999,4165M,AVENUE GEORGES POMPIDOU,POMPIDOU,,,,,4,91
116,DUNANT/AL,Périmètre Henri Dunant et Berty Albrecht,,,M/DU,10,19 BIS RUE DU COMMANDANT RIVIERE,,92150,SURESNES,01 45 06 46 33,OUDIN,Claire,01 45 06 46 33,,6,162,150,Maternelle Henri Dunant,,P,2,12,S,,,8120L,RUE DU RATRAIT,RATRAIT,,,,,4,181
117,DUNANT/AL,Périmètre Henri Dunant et Berty Albrecht,,,M/DU,10,19 BIS RUE DU COMMANDANT RIVIERE,,92150,SURESNES,01 45 06 46 33,OUDIN,Claire,01 45 06 46 33,,6,162,150,Maternelle Henri Dunant,,T,,,P,17,21,1530Y,RUE DU COMMANDANT RIVIERE,RIVIERE,,,,,4,45
118,DUNANT/AL,Périmètre Henri Dunant et Berty Albrecht,,,M/DU,10,19 BIS RUE DU COMMANDANT RIVIERE,,92150,SURESNES,01 45 06 46 33,OUDIN,Claire,01 45 06 46 33,,6,162,150,Maternelle Henri Dunant,,S,,,P,1,41,0615D,RUE DES BAS ROGERS,ROGERS,,,,,4,11
119,DUNANT/AL,Périmètre Henri Dunant et Berty Albrecht,,,M/DU,10,19 BIS RUE DU COMMANDANT RIVIERE,,92150,SURESNES,01 45 06 46 33,OUDIN,Claire,01 45 06 46 33,,6,162,150,Maternelle Henri Dunant,,S,,,S,1,7,XXXX,AVENUE SISLEY,SISLEY,,,,,4,421
120,DUNANT/AL,Périmètre Henri Dunant et Berty Albrecht,,,M/DU,10,19 BIS RUE DU COMMANDANT RIVIERE,,92150,SURESNES,01 45 06 46 33,OUDIN,Claire,01 45 06 46 33,,6,162,150,Maternelle Henri Dunant,,P,28,9998,P,103,9999,9625X,RUE DE VERDUN,VERDUN,,,,,4,214
121,HEO,Périmètre Honoré d'Estienne d'Orves,,,E/HEO,14,47 RUE CARNOT,,92150,SURESNES,01 41 18 38 70,RAIMBAUD,Frédérique,01 41 18 38 70,,6,162,138,Elémentaire Honoré d'Estienne d'Orves,,P,2,76,P,7,69,1425J,RUE CARNOT,CARNOT,,,,,24,26
122,HEO,Périmètre Honoré d'Estienne d'Orves,,,E/HEO,14,47 RUE CARNOT,,92150,SURESNES,01 41 18 38 70,RAIMBAUD,Frédérique,01 41 18 38 70,,6,162,138,Elémentaire Honoré d'Estienne d'Orves,,P,2,38,P,1,41,4125U,RUE GAMBETTA,GAMBETTA,,,,,24,83
123,HEO,Périmètre Honoré d'Estienne d'Orves,,,E/HEO,14,47 RUE CARNOT,,92150,SURESNES,01 41 18 38 70,RAIMBAUD,Frédérique,01 41 18 38 70,,6,162,138,Elémentaire Honoré d'Estienne d'Orves,,P,12,9998,P,11,9999,4135E,RUE GARDENAT LAPOSTOL,LAPOSTOL,,,,,24,261
124,HEO,Périmètre Honoré d'Estienne d'Orves,,,E/HEO,14,47 RUE CARNOT,,92150,SURESNES,01 41 18 38 70,RAIMBAUD,Frédérique,01 41 18 38 70,,6,162,138,Elémentaire Honoré d'Estienne d'Orves,,S,,,S,,,4740M,RUE JEAN MACE,MACE,,,,,24,110
125,HEO,Périmètre Honoré d'Estienne d'Orves,,,E/HEO,14,47 RUE CARNOT,,92150,SURESNES,01 41 18 38 70,RAIMBAUD,Frédérique,01 41 18 38 70,,6,162,138,Elémentaire Honoré d'Estienne d'Orves,,P,2,9998,P,1,9999,4463L,RUE D ESTIENNE D ORVES,ORVES,,,,,24,263
126,HEO,Périmètre Honoré d'Estienne d'Orves,,,E/HEO,14,47 RUE CARNOT,,92150,SURESNES,01 41 18 38 70,RAIMBAUD,Frédérique,01 41 18 38 70,,6,162,138,Elémentaire Honoré d'Estienne d'Orves,,T,,,T,,,7285D,RUE DES PUITS,PUITS,,,,,24,179
127,HEO,Périmètre Honoré d'Estienne d'Orves,,,E/HEO,14,47 RUE CARNOT,,92150,SURESNES,01 41 18 38 70,RAIMBAUD,Frédérique,01 41 18 38 70,,6,162,138,Elémentaire Honoré d'Estienne d'Orves,,S,,,S,25,59,9625X,RUE DE VERDUN,VERDUN,,,,,24,214
128,HEO,Périmètre Honoré d'Estienne d'Orves,,,M/HEO,14,47 RUE CARNOT,,92150,SURESNES,01 41 18 38 70,RAIMBAUD,Frédérique,01 41 18 38 70,,4,120,88,Maternelle Honoré d'Estienne d'Orves,,P,2,76,P,7,69,1425J,RUE CARNOT,CARNOT,,,,,23,26
129,HEO,Périmètre Honoré d'Estienne d'Orves,,,M/HEO,14,47 RUE CARNOT,,92150,SURESNES,01 41 18 38 70,RAIMBAUD,Frédérique,01 41 18 38 70,,4,120,88,Maternelle Honoré d'Estienne d'Orves,,P,2,38,P,1,41,4125U,RUE GAMBETTA,GAMBETTA,,,,,23,83
130,HEO,Périmètre Honoré d'Estienne d'Orves,,,M/HEO,14,47 RUE CARNOT,,92150,SURESNES,01 41 18 38 70,RAIMBAUD,Frédérique,01 41 18 38 70,,4,120,88,Maternelle Honoré d'Estienne d'Orves,,P,12,9998,P,11,9999,4135E,RUE GARDENAT LAPOSTOL,LAPOSTOL,,,,,23,261
131,HEO,Périmètre Honoré d'Estienne d'Orves,,,M/HEO,14,47 RUE CARNOT,,92150,SURESNES,01 41 18 38 70,RAIMBAUD,Frédérique,01 41 18 38 70,,4,120,88,Maternelle Honoré d'Estienne d'Orves,,S,,,S,,,4740M,RUE JEAN MACE,MACE,,,,,23,110
132,HEO,Périmètre Honoré d'Estienne d'Orves,,,M/HEO,14,47 RUE CARNOT,,92150,SURESNES,01 41 18 38 70,RAIMBAUD,Frédérique,01 41 18 38 70,,4,120,88,Maternelle Honoré d'Estienne d'Orves,,P,2,9998,P,1,9999,4463L,RUE D ESTIENNE D ORVES,ORVES,,,,,23,263
133,HEO,Périmètre Honoré d'Estienne d'Orves,,,M/HEO,14,47 RUE CARNOT,,92150,SURESNES,01 41 18 38 70,RAIMBAUD,Frédérique,01 41 18 38 70,,4,120,88,Maternelle Honoré d'Estienne d'Orves,,T,,,T,,,7285D,RUE DES PUITS,PUITS,,,,,23,179
134,HEO,Périmètre Honoré d'Estienne d'Orves,,,M/HEO,14,47 RUE CARNOT,,92150,SURESNES,01 41 18 38 70,RAIMBAUD,Frédérique,01 41 18 38 70,,4,120,88,Maternelle Honoré d'Estienne d'Orves,,S,,,S,25,59,9625X,RUE DE VERDUN,VERDUN,,,,,23,214
135,MADELEINE,Périmètre Madeleine,,,E/MAD,56,10 AVENUE SISLEY,,92150,SURESNES,01 71 04 57 84,RISSEN-NESELRADE,Anne-Laure,01 71 04 57 84,,5,135,129,"Elémentaire Noor Inayat Khan ""Madeleine""",,P,26,9998,P,27,9999,4121P,QUAI GALLIENI,GALLIENI,,,,,47,82
136,MADELEINE,Périmètre Madeleine,,,E/MAD,56,10 AVENUE SISLEY,,92150,SURESNES,01 71 04 57 84,RISSEN-NESELRADE,Anne-Laure,01 71 04 57 84,,5,135,129,"Elémentaire Noor Inayat Khan ""Madeleine""",,T,,,T,,,TEMP01,AVENUE JUSTIN GODART,GODART,,,,,47,422
137,MADELEINE,Périmètre Madeleine,,,E/MAD,56,10 AVENUE SISLEY,,92150,SURESNES,01 71 04 57 84,RISSEN-NESELRADE,Anne-Laure,01 71 04 57 84,,5,135,129,"Elémentaire Noor Inayat Khan ""Madeleine""",,T,,,P,1,13,0660C,RUE BENOIT MALON,MALON,,,,,47,18
138,MADELEINE,Périmètre Madeleine,,,E/MAD,56,10 AVENUE SISLEY,,92150,SURESNES,01 71 04 57 84,RISSEN-NESELRADE,Anne-Laure,01 71 04 57 84,,5,135,129,"Elémentaire Noor Inayat Khan ""Madeleine""",,P,2,12,P,1,11,3125G,RUE EDOUARD NIEUPORT,NIEUPORT,,,,,47,63
139,MADELEINE,Périmètre Madeleine,,,E/MAD,56,10 AVENUE SISLEY,,92150,SURESNES,01 71 04 57 84,RISSEN-NESELRADE,Anne-Laure,01 71 04 57 84,,5,135,129,"Elémentaire Noor Inayat Khan ""Madeleine""",,P,2,12,P,1,5,7110N,RUE PAGES,PAGES,,,,,47,153
140,MADELEINE,Périmètre Madeleine,,,E/MAD,56,10 AVENUE SISLEY,,92150,SURESNES,01 71 04 57 84,RISSEN-NESELRADE,Anne-Laure,01 71 04 57 84,,5,135,129,"Elémentaire Noor Inayat Khan ""Madeleine""",,S,,,P,1,13,4165M,AVENUE GEORGES POMPIDOU,POMPIDOU,,,,,47,91
141,MADELEINE,Périmètre Madeleine,,,E/MAD,56,10 AVENUE SISLEY,,92150,SURESNES,01 71 04 57 84,RISSEN-NESELRADE,Anne-Laure,01 71 04 57 84,,5,135,129,"Elémentaire Noor Inayat Khan ""Madeleine""",,S,,,P,1,15,1530Y,RUE DU COMMANDANT RIVIERE,RIVIERE,,,,,47,45
142,MADELEINE,Périmètre Madeleine,,,E/MAD,56,10 AVENUE SISLEY,,92150,SURESNES,01 71 04 57 84,RISSEN-NESELRADE,Anne-Laure,01 71 04 57 84,,5,135,129,"Elémentaire Noor Inayat Khan ""Madeleine""",,P,10,9998,P,17,9999,5 125 F,RUE LEDRU ROLLIN,ROLLIN,,,,,47,118
143,MADELEINE,Périmètre Madeleine,,,E/MAD,56,10 AVENUE SISLEY,,92150,SURESNES,01 71 04 57 84,RISSEN-NESELRADE,Anne-Laure,01 71 04 57 84,,5,135,129,"Elémentaire Noor Inayat Khan ""Madeleine""",,T,,,P,3,9999,8510K,RUE SALOMON DE ROTHSCHILD,ROTHSCHILD,,,,,47,190
144,MADELEINE,Périmètre Madeleine,,,E/MAD,56,10 AVENUE SISLEY,,92150,SURESNES,01 71 04 57 84,RISSEN-NESELRADE,Anne-Laure,01 71 04 57 84,,5,135,129,"Elémentaire Noor Inayat Khan ""Madeleine""",,T,,,T,9,9999,XXXX,AVENUE SISLEY,SISLEY,,,,,47,421
145,MADELEINE,Périmètre Madeleine,,,M/MAD,56,10 AVENUE SISLEY,,92150,SURESNES,01 71 04 57 84,RISSEN-NESELRADE,Anne-Laure,01 71 04 57 84,,4,120,99,"Maternelle Noor Inayat Khan ""Madeleine""",,P,26,9998,P,27,9999,4121P,QUAI GALLIENI,GALLIENI,,,,,48,82
146,MADELEINE,Périmètre Madeleine,,,M/MAD,56,10 AVENUE SISLEY,,92150,SURESNES,01 71 04 57 84,RISSEN-NESELRADE,Anne-Laure,01 71 04 57 84,,4,120,99,"Maternelle Noor Inayat Khan ""Madeleine""",,T,,,T,,,TEMP01,AVENUE JUSTIN GODART,GODART,,,,,48,422
147,MADELEINE,Périmètre Madeleine,,,M/MAD,56,10 AVENUE SISLEY,,92150,SURESNES,01 71 04 57 84,RISSEN-NESELRADE,Anne-Laure,01 71 04 57 84,,4,120,99,"Maternelle Noor Inayat Khan ""Madeleine""",,T,,,P,1,13,0660C,RUE BENOIT MALON,MALON,,,,,48,18
148,MADELEINE,Périmètre Madeleine,,,M/MAD,56,10 AVENUE SISLEY,,92150,SURESNES,01 71 04 57 84,RISSEN-NESELRADE,Anne-Laure,01 71 04 57 84,,4,120,99,"Maternelle Noor Inayat Khan ""Madeleine""",,P,2,12,P,1,11,3125G,RUE EDOUARD NIEUPORT,NIEUPORT,,,,,48,63
149,MADELEINE,Périmètre Madeleine,,,M/MAD,56,10 AVENUE SISLEY,,92150,SURESNES,01 71 04 57 84,RISSEN-NESELRADE,Anne-Laure,01 71 04 57 84,,4,120,99,"Maternelle Noor Inayat Khan ""Madeleine""",,P,2,12,P,1,5,7110N,RUE PAGES,PAGES,,,,,48,153
150,MADELEINE,Périmètre Madeleine,,,M/MAD,56,10 AVENUE SISLEY,,92150,SURESNES,01 71 04 57 84,RISSEN-NESELRADE,Anne-Laure,01 71 04 57 84,,4,120,99,"Maternelle Noor Inayat Khan ""Madeleine""",,S,,,P,1,13,4165M,AVENUE GEORGES POMPIDOU,POMPIDOU,,,,,48,91
151,MADELEINE,Périmètre Madeleine,,,M/MAD,56,10 AVENUE SISLEY,,92150,SURESNES,01 71 04 57 84,RISSEN-NESELRADE,Anne-Laure,01 71 04 57 84,,4,120,99,"Maternelle Noor Inayat Khan ""Madeleine""",,S,,,P,1,15,1530Y,RUE DU COMMANDANT RIVIERE,RIVIERE,,,,,48,45
152,MADELEINE,Périmètre Madeleine,,,M/MAD,56,10 AVENUE SISLEY,,92150,SURESNES,01 71 04 57 84,RISSEN-NESELRADE,Anne-Laure,01 71 04 57 84,,4,120,99,"Maternelle Noor Inayat Khan ""Madeleine""",,P,10,9998,P,17,9999,5 125 F,RUE LEDRU ROLLIN,ROLLIN,,,,,48,118
153,MADELEINE,Périmètre Madeleine,,,M/MAD,56,10 AVENUE SISLEY,,92150,SURESNES,01 71 04 57 84,RISSEN-NESELRADE,Anne-Laure,01 71 04 57 84,,4,120,99,"Maternelle Noor Inayat Khan ""Madeleine""",,T,,,P,3,9999,8510K,RUE SALOMON DE ROTHSCHILD,ROTHSCHILD,,,,,48,190
154,MADELEINE,Périmètre Madeleine,,,M/MAD,56,10 AVENUE SISLEY,,92150,SURESNES,01 71 04 57 84,RISSEN-NESELRADE,Anne-Laure,01 71 04 57 84,,4,120,99,"Maternelle Noor Inayat Khan ""Madeleine""",,T,,,T,9,9999,XXXX,AVENUE SISLEY,SISLEY,,,,,48,421
155,MOULOUDJI,Périmètre Marcel Mouloudji,,,E/MO,13,10/12 RUE DE SEVRES,,92150,SURESNES,01 41 44 83 86,BARBARRE,Valérie,01 41 44 83 86,,7,189,180,Elémentaire Marcel Mouloudji,,T,2,12,T,,,1495K,RUE CHEVREUL,CHEVREUL,,B,,,22,241
156,MOULOUDJI,Périmètre Marcel Mouloudji,,,E/MO,13,10/12 RUE DE SEVRES,,92150,SURESNES,01 41 44 83 86,BARBARRE,Valérie,01 41 44 83 86,,7,189,180,Elémentaire Marcel Mouloudji,,T,,,T,,,7196G,PASSAGE DES PETITS CLOS,CLOS,,,,,22,165
157,MOULOUDJI,Périmètre Marcel Mouloudji,,,E/MO,13,10/12 RUE DE SEVRES,,92150,SURESNES,01 41 44 83 86,BARBARRE,Valérie,01 41 44 83 86,,7,189,180,Elémentaire Marcel Mouloudji,,T,,,T,,,7 195 F,IMPASSE DES PETITS CLOS,CLOS,,,,,22,227
158,MOULOUDJI,Périmètre Marcel Mouloudji,,,E/MO,13,10/12 RUE DE SEVRES,,92150,SURESNES,01 41 44 83 86,BARBARRE,Valérie,01 41 44 83 86,,7,189,180,Elémentaire Marcel Mouloudji,,T,,,T,,,1516H,PASSAGE DES CLOSEAUX,CLOSEAUX,,,,,22,41
159,MOULOUDJI,Périmètre Marcel Mouloudji,,,E/MO,13,10/12 RUE DE SEVRES,,92150,SURESNES,01 41 44 83 86,BARBARRE,Valérie,01 41 44 83 86,,7,189,180,Elémentaire Marcel Mouloudji,,T,,,T,,,1550V,RUE DES COUVALOUX,COUVALOUX,,,,,22,49
160,MOULOUDJI,Périmètre Marcel Mouloudji,,,E/MO,13,10/12 RUE DE SEVRES,,92150,SURESNES,01 41 44 83 86,BARBARRE,Valérie,01 41 44 83 86,,7,189,180,Elémentaire Marcel Mouloudji,,T,,,T,,,7210X,RUE PIERRE DUPONT,DUPONT,,,,,22,166
161,MOULOUDJI,Périmètre Marcel Mouloudji,,,E/MO,13,10/12 RUE DE SEVRES,,92150,SURESNES,01 41 44 83 86,BARBARRE,Valérie,01 41 44 83 86,,7,189,180,Elémentaire Marcel Mouloudji,,T,,,T,,,3520L,RUE FERNAND FOREST,FOREST,,,,,22,71
162,MOULOUDJI,Périmètre Marcel Mouloudji,,,E/MO,13,10/12 RUE DE SEVRES,,92150,SURESNES,01 41 44 83 86,BARBARRE,Valérie,01 41 44 83 86,,7,189,180,Elémentaire Marcel Mouloudji,,T,,,T,,,4145R,RUE GARIBALDI,GARIBALDI,,,,,22,86
163,MOULOUDJI,Périmètre Marcel Mouloudji,,,E/MO,13,10/12 RUE DE SEVRES,,92150,SURESNES,01 41 44 83 86,BARBARRE,Valérie,01 41 44 83 86,,7,189,180,Elémentaire Marcel Mouloudji,,T,,,T,,,6108Z,AVENUE DU MARECHAL JUIN,JUIN,,,,,22,133
164,MOULOUDJI,Périmètre Marcel Mouloudji,,,E/MO,13,10/12 RUE DE SEVRES,,92150,SURESNES,01 41 44 83 86,BARBARRE,Valérie,01 41 44 83 86,,7,189,180,Elémentaire Marcel Mouloudji,,T,,,T,,,7214B,PASSAGE PIERRE LOTI,LOTI,,,,,22,167
165,MOULOUDJI,Périmètre Marcel Mouloudji,,,E/MO,13,10/12 RUE DE SEVRES,,92150,SURESNES,01 41 44 83 86,BARBARRE,Valérie,01 41 44 83 86,,7,189,180,Elémentaire Marcel Mouloudji,,T,,,T,,,6175X,RUE DES MOULINEAUX,MOULINEAUX,,,,,22,148
166,MOULOUDJI,Périmètre Marcel Mouloudji,,,E/MO,13,10/12 RUE DE SEVRES,,92150,SURESNES,01 41 44 83 86,BARBARRE,Valérie,01 41 44 83 86,,7,189,180,Elémentaire Marcel Mouloudji,,T,,,T,,,9 610 F,PASSAGE DU VAL D OR,OR,,,,,22,211
167,MOULOUDJI,Périmètre Marcel Mouloudji,,,E/MO,13,10/12 RUE DE SEVRES,,92150,SURESNES,01 41 44 83 86,BARBARRE,Valérie,01 41 44 83 86,,7,189,180,Elémentaire Marcel Mouloudji,,P,16,9999,S,,,9611G,RUE DU VAL D OR,OR,,,,,22,210
168,MOULOUDJI,Périmètre Marcel Mouloudji,,,E/MO,13,10/12 RUE DE SEVRES,,92150,SURESNES,01 41 44 83 86,BARBARRE,Valérie,01 41 44 83 86,,7,189,180,Elémentaire Marcel Mouloudji,,T,,,T,,,4 435 F,RUE HENRI REGNAULT,REGNAULT,,,,,22,264
169,MOULOUDJI,Périmètre Marcel Mouloudji,,,E/MO,13,10/12 RUE DE SEVRES,,92150,SURESNES,01 41 44 83 86,BARBARRE,Valérie,01 41 44 83 86,,7,189,180,Elémentaire Marcel Mouloudji,,T,2,30,T,1,45,4730B,RUE JEAN JACQUES ROUSSEAU,ROUSSEAU,,,,,22,265
170,MOULOUDJI,Périmètre Marcel Mouloudji,,,E/MO,13,10/12 RUE DE SEVRES,,92150,SURESNES,01 41 44 83 86,BARBARRE,Valérie,01 41 44 83 86,,7,189,180,Elémentaire Marcel Mouloudji,,T,,,T,,,8820X,RUE DE SAINT CLOUD,SAINT-CLOUD,,,,,22,245
171,MOULOUDJI,Périmètre Marcel Mouloudji,,,E/MO,13,10/12 RUE DE SEVRES,,92150,SURESNES,01 41 44 83 86,BARBARRE,Valérie,01 41 44 83 86,,7,189,180,Elémentaire Marcel Mouloudji,,S,,,P,17,139,4440L,BOULEVARD HENRI SELLIER,SELLIER,,,,B,22,99
172,MOULOUDJI,Périmètre Marcel Mouloudji,,,E/MO,13,10/12 RUE DE SEVRES,,92150,SURESNES,01 41 44 83 86,BARBARRE,Valérie,01 41 44 83 86,,7,189,180,Elémentaire Marcel Mouloudji,,T,,,T,,,8540T,RUE DE SEVRES,SEVRES,,,,,22,195
173,MOULOUDJI,Périmètre Marcel Mouloudji,,,E/MO,13,10/12 RUE DE SEVRES,,92150,SURESNES,01 41 44 83 86,BARBARRE,Valérie,01 41 44 83 86,,7,189,180,Elémentaire Marcel Mouloudji,,T,,,T,,,65 F,RUE DE L AMIRAL WILLAUMEZ,WILLAUMEZ,,,,,22,6
174,MOULOUDJI,Périmètre Marcel Mouloudji,,,M/MO,13,10/12 RUE DE SEVRES,,92150,SURESNES,01 41 44 83 86,BARBARRE,Valérie,,,5,150,110,Maternelle Marcel Mouloudji,,T,2,12,T,,,1495K,RUE CHEVREUL,CHEVREUL,,B,,,21,241
